id	upload_date	duration_s	speakers	has_audio	title
fn3qYSVXfYE	20260825	1808		yes	Gods Will For Your Life  08 23 2026
FPdh8iemrr8	20260824	4963		no	Sunday Worship - God's Will for Your Life - 8.23.2026
_z1EOZEEWMU	20260824	3461	Doug Arney	no	Sunday Bible Class - Anxious Generation - 8.23.2026
9j4O5z3MB0I	20260823	3505	Josh Tolbert	yes	Wednesday - Bible Class - Isaiah - 8.26.2026
cDsx0MBUDOM	20260820	2238	Josh Tolbert	yes	Wednesday Night Bible Class - Isaiah - 8.19.2026
uXtNtbF_f1c	20260820	508	Josh Tolbert	yes	Wednesday Night Bible Class - Isaiah - 8.19.2026
-bdU3daYMFg	20260817	6050	Clay Gentry	no	Sunday AM - Clothed for the Kingdom - 8.16.2026
HqVflt6C07I	20260817	3366	Doug Arney	no	Sunday Bible Class - Anxious Generation - 8.16.2026
o5jETTPP_FY	20260817	2793	Clay Gentry	yes	Clothed for the Wedding Feast  08 16 2026
5szMvd3kKe4	20260813	3559	Josh Tolbert	yes	Wednesday Night Bible Class - Isaiah - 081226
6udE-wj6VcU	20260811	2492	Clay Gentry	no	Loyalty in a World of Noise  08 09 2026
dI5Y1ZLhL5o	20260810	3289	Doug Arney	no	Sunday Morning Bible Class - Anxious Generation Goes to Church - 080926
e1hi_7ajxrs	20260810	5718	Clay Gentry	no	Sunday Worship - Loyal In A World Of Noise - 080926
po_Wuun5hfc	20260806	3500	Josh Tolbert	yes	Wednesday - Bible Class - Isaiah - 8.5.2026
053i0ongKQ4	20260804	1457		yes	The Promises for Loving God  08 02 2026
25Y9Xkx1UFc	20260803	4131	Clay Gentry	no	Sunday AM Worship - The Blessings of Loving God - 8.2.2026
4TRD0KUuj6s	20260803	3291	Doug Arney	no	Sunday AM Bible Class - Anxious Generation - 8.2.2026
TTNaww8xD2k	20260801	7335		no	2026 Congregational Singing - 073126
QkvgG0DHbgI	20260730	3001	Josh Tolbert	yes	Wednesday Night Bible Class - Isaiah - 072926
3zFxgjwWXdw	20260727	2535	Clay Gentry	yes	Extraterrestrials and the Gospel
JqnPm-V1EQM	20260727	3119	Doug Arney	no	Sunday Morning Bible Class - Anxious Generation Goes to Church - 072626
ftIIj4gemlg	20260727	3885		no	Sunday PM - Singing - 7.26.2026
iw5XfH9Ealc	20260727	5500	Clay Gentry	no	Sunday AM Worship - Extraterrestrials and the Gospel - 7.26.2026
VVrQ1ZhzDyM	20260723	3424		no	Wednesday Night Bible Class - Isaiah - 7/22/26
8cMK51gtyY4	20260720	3452	Doug Arney	no	Sunday AM - Bible Class - Anxious Generation - 7.19.2026
FF7tS6ijRSc	20260720	1326	Charlie Norman	no	Sunday AM - Worship - Dominica Report - 7.19.2026
TBuP8F0mB0s	20260720	3699	Charlie Norman	no	Sunday AM - Worship - Dominica Report - 7.19.2026
5Y4SJVIUMVc	20260716	3619	Josh Tolbert	yes	Wednesday Night Bible Class - Isaiah - 7/15/26
idDlQwEJyP0	20260625	2860		no	Wednesday Night Bible Class - Isaiah 6.24.26
GN7-eaWeOfw	20260622	5301	Clay Gentry	no	Sunday Worship - The Anxious Pursuit of More - 6.21.26
UjURtn2xJ-w	20260622	2117	Clay Gentry	no	The Anxious Pursuit of Enough 06 21 2026
exa55L1hBt0	20260622	2742		no	Walking in Revelation's Seven Cities Presentation 6.21.26
D0YY5VwRY5k	20260615	4440	Clay Gentry	no	Sunday AM Worship - Changed by Communion - 6.14.2026
HTFCOOCuKGw	20260615	2949	Clay Gentry	no	Sunday Worship - The Gospel of the King - 6.14.2026
ZOu2Gis7eFQ	20260611	2846		no	Wednesday Night Bible Class - Isaiah - 6/10/26
1iUwJgpqGjo	20260608	5468	Clay Gentry	no	Sunday AM Worship - When Death met Life - 6.7.2026
pNYxMeQhcfs	20260608	2436		yes	When Death met Life  06 07 2026
s70AxJ8qftM	20260608	3334	Clay Gentry	no	Sunday Bible Class - The Gospel of the King - 6.7.2026
pfWdBSmVPuU	20260604	3143	Josh Tolbert	yes	Wednesday Bible Class - Isaiah - 6.3.2026
87N88Fxhxqo	20260601	2406	Clay Gentry	yes	The House God Built 05 31 2026
VK4ivK-SM0c	20260601	3023	Clay Gentry	no	Sunday Bible Class - Gospel of the Kings - 5.31.2026
VWnWcJfSWNA	20260601	5585	Clay Gentry	no	Sunday AM Worship - The House God Built - 5.31.2026
aZ0RtAAW_9o	20260601	3620		no	Sunday PM - Singing - 5.31.2026
rLPnP6LfqTc	20260529	1875	Clay Gentry	yes	Tear Your Heart  05 24 2026
3XmRNckdsLI	20260528	3065	Josh Tolbert	yes	Wednesday Bible Class - Isaiah - 5.27.2026
9gRR1p72Zhg	20260525	3046	Clay Gentry	no	Sunday AM Bible Class - 5.24.2026
ivr2X8qOcuE	20260525	6276	Clay Gentry	no	Sunday AM Worship - Tear Your Heart - 5.24.2026
Cz2gHfDKb1U	20260521	3293	Josh Tolbert	yes	Wednesday Bible Class - Isaiah - 5.20.2026
GIMoEO3FIZI	20260519	2030	Clay Gentry	yes	Sluggards: Wishers not Workers  05 17 2026
RymPEQj6BEs	20260518	3718	Clay Gentry	no	Sunday AM Bible Class The Gospel of the King - 5.17.2026
pnx8L2OSTEM	20260518	5097	Clay Gentry	no	Sunday Morning Worship - Sluggards: Wishers not Workers - 051726
1GAq8lNth2A	20260514	3386	Josh Tolbert	yes	Wednesday Bible Class - Isaiah - 5.13.2026
_KPf9Elu2WA	20260511	5714	Clay Gentry	no	Sunday Worship - Mary Magdalene - 5.10.2026
bv97-hV6tEk	20260511	1889		no	The Mary Magdalene Model  05 10 2026
uc0xe58KJkY	20260511	2928	Clay Gentry	no	Sunday AM Bible Class - The Gospel of the King - 5.10.2026
cdz8GddbzRU	20260507	2748	Josh Tolbert	yes	Wednesday Bible Class - Isaiah - 5.6.2026
8oo3_7x3UkI	20260504	3422		no	Sunday AM Bible Class - 5.3.2026
xyuj8eR6po0	20260504	3991	Charlie Norman	no	Sunday AM Worship - Is Jesus in Your Boat - 5.3.2026
gxMB3fiBccc	20260430	3410	Josh Tolbert	yes	Wednesday Bible Class - Isaiah - 4.29.2026
oVF78R-_2lk	20260429	1960	Clay Gentry	no	The Sin of Achan  04 26 2026
-Bh0UsdN-XM	20260427	3036	Clay Gentry	no	Sunday AM Bible Class - The Gospel of the King - 4.26.2026
cDbYJqDOwG0	20260427	5198	Clay Gentry	no	Sunday Worship - The Sin of Achan - 4.26.2026
jmHS1DE0uL8	20260427	4460		no	Sunday PM Singing - 4.26.2026
